% Model:              ring_decel_osterwalder.mph
% Version:            COMSOL 5.4.0.225
% Date:               Mar 20 2019, 06:41
% Dimension:          2
% Nodes:              1281
% Expressions:        1
% Description:        Electric field norm
% Length unit:        mm
% r                       z                        es.normE (V/m) @ ph=0
0.30000000000000004       -0.9                     1375075.9023834388
0.4                       -0.9                     1392919.0553590818
0.5                       -0.9                     1414614.961347884
0.6000000000000001        -0.9                     1441568.1985360663
0.7000000000000001        -0.9                     1471907.7288318514
0.8                       -0.9                     1504915.0538965312
0.9000000000000001        -0.9                     1541131.2946477965
1                         -0.9                     1578603.4746247896
1.1                       -0.9                     1614310.3584863017
1.2000000000000002        -0.9                     1648238.540276844
1.3000000000000003        -0.9                     1679633.6757647262
1.4000000000000001        -0.9                     1698379.002099607
1.5                       -0.9                     1713116.2917753838
1.6                       -0.9                     1705465.2514784115
1.7000000000000002        -0.9                     1682609.5205818035
1.8000000000000003        -0.9                     1654325.600709502
1.9000000000000001        -0.9                     1618726.746093538
2                         -0.9                     1602979.4042250842
0                         -0.7999999999999998      1213569.4791950532
0.1                       -0.7999999999999998      1217420.9956208135
0.2                       -0.7999999999999998      1226150.8888141396
0.30000000000000004       -0.7999999999999998      1240202.1465849718
0.4                       -0.7999999999999998      1260228.3470473972
0.5                       -0.7999999999999998      1285148.4320531508
0.6000000000000001        -0.7999999999999998      1315182.0407335507
0.7000000000000001        -0.7999999999999998      1349750.7794819332
0.8                       -0.7999999999999998      1388672.8433037244
0.9000000000000001        -0.7999999999999998      1430749.4514654023
1                         -0.7999999999999998      1474999.827956068
1.1                       -0.7999999999999998      1523293.1295465168
1.2000000000000002        -0.7999999999999998      1569855.891496677
1.3000000000000003        -0.7999999999999998      1626192.5526632497
1.4000000000000001        -0.7999999999999998      1662240.3972194237
1.5                       -0.7999999999999998      1706709.1336306478
1.6                       -0.7999999999999998      1735119.5504637968
1.7000000000000002        -0.7999999999999998      1765449.6399574932
1.8000000000000003        -0.7999999999999998      1793797.647988738
1.9000000000000001        -0.7999999999999998      1828501.9158667543
2                         -0.7999999999999998      1875559.401988063
0                         -0.6999999999999997      1073087.0545702807
0.1                       -0.6999999999999997      1076982.5379975014
0.2                       -0.6999999999999997      1086247.7456631577
0.30000000000000004       -0.6999999999999997      1102575.334772777
0.4                       -0.6999999999999997      1125289.360293436
0.5                       -0.6999999999999997      1152927.3114258798
0.6000000000000001        -0.6999999999999997      1187876.0922000078
0.7000000000000001        -0.6999999999999997      1227650.644221333
0.8                       -0.6999999999999997      1271221.5286295372
0.9000000000000001        -0.6999999999999997      1321913.808099772
1                         -0.6999999999999997      1376153.2784031315
1.1                       -0.6999999999999997      1431597.7061473918
1.2000000000000002        -0.6999999999999997      1494180.060251575
1.3000000000000003        -0.6999999999999997      1558357.9992620447
1.4000000000000001        -0.6999999999999997      1626523.3963161386
1.5                       -0.6999999999999997      1696141.3428671693
1.6                       -0.6999999999999997      1769283.150296811
1.7000000000000002        -0.6999999999999997      1844755.4643473409
1.8000000000000003        -0.6999999999999997      1945746.2503916249
1.9000000000000001        -0.6999999999999997      2045608.2849637782
2                         -0.6999999999999997      2183509.1888184254
0                         -0.5999999999999996      927703.6870070742
0.1                       -0.5999999999999996      932421.3644632458
0.2                       -0.5999999999999996      943755.9829198313
0.30000000000000004       -0.5999999999999996      962074.6648933964
0.4                       -0.5999999999999996      988015.372511388
0.5                       -0.5999999999999996      1020315.423803855
0.6000000000000001        -0.5999999999999996      1059435.18728132
0.7000000000000001        -0.5999999999999996      1104715.5046943247
0.8                       -0.5999999999999996      1155971.1546091044
0.9000000000000001        -0.5999999999999996      1213471.3407576426
1                         -0.5999999999999996      1275713.2805679615
1.1                       -0.5999999999999996      1345999.7454089408
1.2000000000000002        -0.5999999999999996      1420490.1094182925
1.3000000000000003        -0.5999999999999996      1500326.2157174752
1.4000000000000001        -0.5999999999999996      1595389.447850534
1.5                       -0.5999999999999996      1698568.1400223332
1.6                       -0.5999999999999996      1802759.4432762184
1.7000000000000002        -0.5999999999999996      1933085.9482746564
1.8000000000000003        -0.5999999999999996      2099952.3122186563
1.9000000000000001        -0.5999999999999996      2278754.1923181014
2                         -0.5999999999999996      2494540.546174747
0                         -0.5                     780153.0522530804
0.1                       -0.5                     785141.2126666975
0.2                       -0.5                     797818.9196416237
0.30000000000000004       -0.5                     819573.4540415279
0.4                       -0.5                     849655.8855571768
0.5                       -0.5                     886274.4196711994
0.6000000000000001        -0.5                     931798.1360652826
0.7000000000000001        -0.5                     983723.8981888387
0.8                       -0.5                     1040892.1222888482
0.9000000000000001        -0.5                     1107677.5541950476
1                         -0.5                     1180203.778510481
1.1                       -0.5                     1257488.5798801426
1.2000000000000002        -0.5                     1349622.3730870695
1.3000000000000003        -0.5                     1449019.9293589357
1.4000000000000001        -0.5                     1565965.431144941
1.5                       -0.5                     1690279.6890077172
1.6                       -0.5                     1841669.612031529
1.7000000000000002        -0.5                     2028074.5204347312
1.8000000000000003        -0.5                     2265708.0193853118
1.9000000000000001        -0.5                     2527782.190147661
2                         -0.5                     2846206.28784305
0                         -0.3999999999999999      630215.4693044784
0.1                       -0.3999999999999999      634284.0841305924
0.2                       -0.3999999999999999      650270.5724865694
0.30000000000000004       -0.3999999999999999      676049.8163091623
0.4                       -0.3999999999999999      711561.6140070405
0.5                       -0.3999999999999999      754962.0623168757
0.6000000000000001        -0.3999999999999999      807025.4014566242
0.7000000000000001        -0.3999999999999999      866117.479132131
0.8                       -0.3999999999999999      931533.0470007042
0.9000000000000001        -0.3999999999999999      1006165.0920722715
1                         -0.3999999999999999      1086439.9253351523
